participantId,timestamp,x,y,z
1,30,411,160,4152
1,69,511,397,4265
1,109,416,238,4144
1,149,418,180,4317
1,189,394,334,4255
1,230,278,86,4320
1,269,464,-344,4405
1,309,586,126,4386
1,349,803,-568,4259
1,389,805,-1622,4014
1,430,1032,-1228,3955
1,469,1329,-1557,3823
1,510,1450,-1809,3387
1,550,1763,-1797,2891
1,590,2046,-2557,2908
1,631,1972,-2397,2761
1,670,2033,-2218,2549
1,710,2180,-2152,2549
1,750,2393,-2067,2600
1,790,2701,-2307,2391
1,831,2850,-2474,2228
1,870,2827,-2771,1914
1,910,2704,-2225,1987
1,950,2465,-2336,2126
1,990,2436,-2414,2203
1,1031,2592,-2350,2089
1,1070,2615,-2415,2200
1,1110,2593,-2491,2411
1,1150,2559,-2574,2394
1,1190,2683,-2275,2333
1,1232,2717,-2466,2246
1,1271,2692,-2484,2320
1,1311,2581,-2509,2275
1,1351,2558,-2624,2216
1,1391,2563,-2478,2212
1,1432,2553,-2634,2336
1,1471,2457,-2606,2401
1,1511,2500,-2453,2394
1,1551,2479,-2336,2451
1,1591,2498,-2333,2448
1,1632,2537,-2402,2545
1,1671,2537,-2365,2450
1,1711,2620,-2333,2463
1,1751,2597,-2274,2504
1,1791,2549,-2348,2485
1,1832,2569,-2284,2400
1,1871,2608,-2331,2477
1,1911,2480,-2305,2386
1,1951,2582,-2281,2506
1,1991,2562,-2394,2384
1,2032,2590,-2341,2450
1,2072,2483,-2386,2368
1,2112,2562,-2451,2455
1,2152,2608,-2476,2463
1,2192,2450,-2621,2384
1,2233,2588,-2404,2432
1,2272,2487,-2544,2385
1,2312,2585,-2451,2356
1,2352,2494,-2438,2310
1,2392,2539,-2390,2478
1,2433,2455,-2441,2384
1,2472,2464,-2445,2482
1,2512,2440,-2428,2511
1,2552,2464,-2458,2489
1,2592,2357,-2480,2587
1,2633,2443,-2472,2572
1,2672,2441,-2468,2432
1,2712,2490,-2487,2504
1,2752,2480,-2468,2445
1,2792,2497,-2378,2359
1,2833,2492,-2517,2486
1,2873,2444,-2413,2362
1,2913,2482,-2548,2435
1,2953,2442,-2504,2335
1,2993,2503,-2607,2381
1,3034,2489,-2505,2413
1,3073,2478,-2533,2340
1,3113,2537,-2480,2324
1,3153,2479,-2477,2395
1,3193,2486,-2551,2365
1,3234,2474,-2454,2368
1,3273,2484,-2579,2362
1,3313,2449,-2554,2271
1,3353,2504,-2612,2467
1,3393,2443,-2336,2450
1,3434,2464,-2307,2517
1,3473,2383,-2496,2518
1,3514,2459,-2452,2549
1,3554,2417,-2404,2572
1,3594,2380,-2422,2543
1,3635,2452,-2481,2521
1,3674,2416,-2440,2536
1,3714,2514,-2341,2524
1,3754,2499,-2382,2438
1,3794,2463,-2311,2560
1,3835,2477,-2264,2488
1,3874,2439,-2339,2492
1,3914,2465,-2399,2441
1,3954,2458,-2446,2551
1,3994,2435,-2399,2536
1,4035,2463,-2421,2554
1,4126,2485,-2388,2500
1,4167,2463,-2504,2513
1,4206,2448,-2456,2438
1,4247,2434,-2396,2502
1,4288,2484,-2383,2481
1,4327,2495,-2388,2454
1,4367,2475,-2440,2495
1,4407,2557,-2342,2396
1,4447,2456,-2477,2454
1,4488,2417,-2404,2471
1,4527,2452,-2475,2433
1,4567,2331,-2568,2497
1,4607,2459,-2359,2425
1,4647,2491,-2383,2495
1,4688,2360,-2562,2607
1,4727,2390,-2454,2602
1,4767,2265,-2447,2603
1,4807,2303,-2480,2611
1,4848,2303,-2312,2694
1,4889,2343,-2569,2535
1,4928,2312,-2507,2614
1,4968,2326,-2512,2582
1,5008,2318,-2470,2616
1,5048,2261,-2405,2554
1,5089,2287,-2483,2626
1,5128,2200,-2437,2570
1,5168,2285,-2449,2599
1,5208,2281,-2608,2575
1,5248,2316,-2483,2614
1,5289,2205,-2558,2659
1,5328,2136,-2467,2628
1,5369,2266,-2537,2582
1,5408,2202,-2516,2611
1,5448,2261,-2497,2678
1,5490,2125,-2510,2626
1,5529,2147,-2456,2732
1,5569,2227,-2536,2662
1,5609,2266,-2416,2542
1,5649,2332,-2495,2662
1,5690,2161,-2608,2562
1,5729,2251,-2455,2539
1,5769,2251,-2444,2603
1,5809,2304,-2569,2548
1,5849,2337,-2551,2412
1,5890,2237,-2550,2641
1,5929,2328,-2639,2591
1,5969,2007,-2598,2486
1,6009,1935,-2595,2697
1,6049,2159,-2428,2587
1,6090,2144,-2664,2695
1,6129,2276,-2550,2583
1,6169,2313,-2611,2611
1,6210,2163,-2573,2581
1,6250,2180,-2581,2512
1,6291,2050,-2410,2561
1,6330,2362,-2798,2636
1,6370,2202,-2701,2568
1,6410,2185,-2567,2534
1,6450,2228,-2728,2554
1,6491,1981,-2734,2406
1,6530,2169,-2578,2539
